action: resupply[$c1],action: resupply[$c2],action: resupply[$c3],action: resupply[$c4],states: quant[$c1],states: quant[$c2],states: quant[$c3],states: quant[$c4]
0,291,0,106,250,0,248,2
263,104,35,0,245,9,246,9
79,0,2,200,252,1,244,3
150,68,0,127,258,0,242,0
350,0,0,137,260,0,240,0
0,0,0,341,262,0,238,0
0,431,0,0,257,0,236,7
182,218,0,0,252,13,234,1
125,0,139,37,263,5,232,0
126,292,32,0,270,0,230,0
0,0,0,353,272,0,228,0
126,0,0,200,267,0,226,7
190,1,0,0,275,0,224,1
0,0,264,235,278,0,222,0
19,0,330,0,273,0,227,7
0,0,443,46,274,0,225,1
0,201,36,0,269,0,231,8
304,0,0,0,264,5,234,2
127,0,0,157,268,0,232,0
0,325,0,24,0,0,0,0
222,0,0,56,0,325,0,24
0,0,498,0,165,317,0,18
0,0,487,0,160,309,19,12
201,0,0,42,155,301,38,6
7,359,0,0,171,293,36,0
0,227,181,38,173,293,34,0
209,13,0,0,168,300,47,15
0,0,461,21,163,292,45,9
0,0,0,331,158,284,55,15
97,22,0,199,153,276,53,18
121,238,0,0,169,268,51,12
0,0,0,195,185,260,49,6
0,0,369,10,180,252,47,21
0,246,86,0,175,244,66,25
203,119,153,0,170,247,75,19
0,0,8,492,175,239,73,13
0,243,251,0,170,231,79,28
0,128,321,1,165,236,90,22
0,372,0,0,160,236,96,17
0,253,57,169,155,240,94,11
0,0,450,0,150,253,113,26
0,425,0,0,145,245,111,20
0,119,0,350,140,237,109,14
33,0,0,446,135,250,107,29
364,0,0,49,130,242,105,23
0,0,0,237,146,234,103,17
157,0,0,264,141,226,101,32
70,0,163,240,157,218,99,26
0,264,0,202,173,210,97,20
0,11,0,319,168,223,95,35
0,191,252,21,163,215,93,29
310,0,0,0,158,228,112,44
0,0,173,279,153,220,110,38
210,49,108,60,148,212,108,32
189,287,0,0,164,204,106,26
0,462,0,0,180,196,104,20
37,16,259,106,175,209,102,14
0,0,410,68,191,201,100,8
79,288,12,0,186,193,119,23
229,22,0,231,181,185,117,17
0,485,0,0,197,177,115,11
0,0,135,296,192,190,113,5
0,0,223,157,187,182,131,20
0,134,306,0,182,174,130,15
0,0,375,0,177,186,148,9
0,163,189,64,172,178,147,3
452,0,0,25,167,188,163,18
297,46,0,50,162,180,161,12
0,476,0,0,163,172,159,6
445,0,0,25,158,185,157,0
0,0,399,55,168,177,155,0
86,0,0,269,163,169,168,15
166,189,63,0,164,161,166,9
0,0,0,407,180,153,164,3
329,125,0,0,175,145,162,18
213,0,243,0,191,137,160,12
203,81,0,25,207,129,158,6
0,89,0,373,223,121,156,0
0,224,255,0,218,128,154,15
0,208,0,61,213,126,158,9
0,0,347,0,208,133,156,18
0,0,299,15,203,125,160,12
0,0,474,4,198,117,179,21
0,439,0,0,193,109,183,19
0,0,471,0,188,118,181,13
171,0,209,8,183,110,200,7
64,216,67,79,199,102,198,1
0,424,0,0,210,94,196,0
0,10,103,300,205,101,194,0
413,0,29,0,200,103,207,15
0,353,0,29,195,95,205,9
0,0,359,0,190,104,203,20
0,260,171,0,185,96,205,14
41,319,118,0,180,109,224,8
113,0,0,355,175,101,222,2
0,284,143,0,187,93,220,0
254,63,38,0,182,100,233,0
0,0,388,103,177,92,231,0
106,30,76,35,172,84,244,15
254,0,149,0,173,76,242,9
254,0,0,182,189,68,240,3
492,0,0,0,202,60,238,0
39,178,64,198,212,52,236,0
206,79,0,0,222,44,234,0
278,0,148,0,232,36,232,0
12,0,0,431,242,28,230,0
284,0,47,0,249,20,228,3
107,0,172,117,262,12,226,0
0,21,470,0,272,4,224,0
0,28,195,112,267,11,233,0
0,211,0,198,262,7,235,4
0,251,0,0,257,10,233,10
36,433,0,0,252,13,231,4
0,126,193,54,266,5,229,0
410,0,0,0,261,12,239,12
0,0,409,0,256,4,237,6
295,47,12,0,251,0,249,0
70,0,164,188,253,0,247,0
210,48,0,0,255,0,245,0
475,0,0,0,0,0,0,0
200,78,195,0,475,0,0,0
0,279,0,5,500,0,0,0
0,258,241,0,495,5,0,5
356,0,0,0,490,10,10,0
254,40,36,96,490,2,8,0
0,361,0,74,494,0,6,0
0,354,82,0,489,7,4,7
44,0,5,191,484,13,15,1
0,388,0,0,482,5,13,0
16,245,129,68,477,12,11,0
339,0,62,0,487,4,9,0
0,147,23,207,493,0,7,0
257,0,201,10,488,7,12,7
45,0,415,0,489,0,10,1
387,0,0,0,492,0,8,0
286,0,0,210,494,0,6,0
0,106,183,189,496,0,4,0
210,82,0,0,491,7,9,7
0,0,0,441,492,0,7,1
0,0,376,111,487,0,5,8
0,0,477,0,482,0,16,15
11,0,9,293,477,0,14,9
496,0,0,0,483,0,14,5
0,296,0,9,488,0,12,0
181,136,0,175,483,7,10,7
0,0,0,476,491,0,8,1
7,380,0,0,486,0,6,8
29,45,424,0,488,6,4,2
0,0,190,307,498,0,2,0
131,305,0,19,493,0,7,7
0,201,213,31,494,0,5,1
377,0,0,0,489,8,11,8
168,110,0,118,489,0,9,2
0,0,0,265,493,0,7,0
0,0,0,441,488,0,5,7
333,0,0,0,483,0,3,14
118,206,26,0,491,0,1,8
0,94,179,0,498,0,0,2
0,183,205,0,493,7,7,0
0,0,10,445,488,7,12,0
0,387,95,0,483,0,17,7
241,0,0,0,478,6,21,1
0,208,0,188,481,0,19,0
0,1,0,497,476,7,17,7
5,0,0,478,471,1,15,14
66,0,0,173,471,0,13,16
15,36,34,294,479,0,11,10
15,165,0,69,487,0,9,4
17,159,132,0,493,0,7,0
2,0,104,152,495,0,5,0
0,172,8,203,492,0,8,5
350,0,0,0,487,7,13,7
0,219,89,190,488,0,11,1
0,0,81,282,483,8,17,8
213,0,191,0,478,0,20,7
457,0,0,11,481,0,18,1
160,0,62,103,484,0,16,0
311,0,110,0,486,0,14,0
0,62,34,188,488,0,12,0
126,0,254,0,483,7,17,7
0,0,117,180,484,0,15,1
0,0,250,219,479,0,21,8
164,0,0,323,474,0,24,7
106,128,0,243,477,0,22,1
0,0,399,0,480,0,20,0
0,0,283,161,475,0,25,0
105,0,40,276,470,0,30,7
0,93,282,0,471,0,28,1
0,0,117,266,466,8,34,0
0,70,0,263,461,0,39,7
236,0,109,0,456,6,37,7
0,125,0,142,464,0,35,1
284,0,0,144,459,8,33,8
0,0,0,384,467,0,31,2
0,110,135,59,462,0,29,9
0,0,0,483,457,13,40,16
249,95,153,0,452,5,38,10
233,12,202,0,460,0,36,4
0,0,0,373,466,0,34,0
0,0,28,424,461,0,32,7
48,0,0,252,456,0,43,14
0,0,306,0,451,0,41,8
0,291,175,0,446,0,52,2
59,260,0,63,441,9,59,0
0,0,145,351,442,1,57,0
204,216,0,14,437,0,63,8
18,0,151,0,437,0,61,2
0,484,0,0,441,0,59,0
400,61,0,0,436,7,57,0
0,335,0,0,445,0,55,0
18,101,135,0,440,7,53,0
53,0,109,326,449,0,51,0
351,22,0,0,451,0,49,0
0,0,0,477,453,0,47,0
61,273,0,0,448,0,45,7
359,0,55,48,456,0,43,1
48,0,0,437,459,0,41,0
43,0,412,0,461,0,39,0
139,0,0,338,463,0,37,0
331,0,0,0,0,0,0,0
0,0,0,456,331,0,0,0
0,68,0,211,326,0,0,174
26,45,260,0,321,11,0,179
23,10,0,410,324,3,0,173
0,0,0,264,333,0,0,167
0,0,317,0,328,0,0,172
155,0,275,0,323,0,11,166
308,0,35,31,331,0,9,160
0,0,123,366,339,0,7,154
83,0,0,313,334,0,18,161
264,0,95,0,329,0,16,155
0,0,371,0,337,0,14,149
491,0,0,0,332,0,25,143
0,481,0,0,340,0,23,137
0,0,379,0,335,13,21,131
343,48,0,0,330,5,40,125
0,488,0,0,343,0,38,119
179,0,312,0,338,13,36,113
0,321,0,174,354,5,34,107
20,217,247,0,349,18,32,119
490,0,0,0,347,10,30,113
0,0,170,0,363,2,28,107
55,406,0,0,358,0,41,101
87,0,102,272,366,0,39,95
0,0,478,0,374,0,37,89
342,113,0,25,369,0,48,83
0,37,62,237,377,0,46,77
0,66,0,362,372,13,57,84
0,335,0,0,367,5,55,78
187,28,171,47,362,13,53,72
56,0,24,308,378,5,51,66
0,45,27,401,391,0,49,60
152,0,330,0,386,13,60,67
0,280,0,211,381,5,58,61
0,0,21,283,376,13,56,68
142,131,5,145,371,5,62,70
0,0,450,0,376,0,60,64
476,0,0,0,371,0,71,58
51,0,108,225,379,0,69,52
3,74,216,0,387,0,67,46
0,166,0,320,385,10,75,40
0,115,0,368,380,13,73,45
15,86,215,103,375,15,71,49
0,138,272,0,381,7,69,43
0,0,465,0,376,20,87,37
135,362,0,0,371,12,86,31
0,0,355,0,387,4,84,25
330,41,0,83,382,0,99,19
0,0,287,182,390,0,97,13
0,0,150,156,385,0,108,20
282,0,0,155,380,0,106,14
245,0,0,151,388,0,104,8
485,0,0,0,396,0,102,2
0,0,356,0,400,0,100,0
0,135,238,80,395,0,105,0
19,50,3,22,390,7,110,7
0,0,0,454,391,0,108,1
0,0,277,6,386,0,106,8
0,0,393,0,381,0,117,8
0,124,30,37,376,0,122,2
25,162,0,255,371,9,129,9
167,126,57,0,369,1,127,3
291,120,0,0,375,0,125,0
99,0,188,0,377,0,123,0
59,0,407,0,379,0,121,0
173,0,0,316,381,0,119,0
132,291,0,0,383,0,117,0
0,163,99,52,385,0,115,0
0,327,0,0,380,7,120,7
0,0,205,282,375,6,118,1
0,98,0,261,370,0,130,14
287,0,0,159,365,0,128,8
34,355,0,0,372,0,126,2
0,0,0,489,376,0,124,0
0,0,102,371,371,0,122,7
0,30,318,1,366,0,133,14
436,0,0,22,361,0,131,8
157,68,126,0,369,0,129,2
87,0,282,131,373,0,127,0
0,0,348,0,375,0,125,0
2,200,0,243,370,0,130,0
154,128,98,0,367,5,128,5
0,329,0,164,374,0,126,0
0,64,240,0,369,7,124,7
0,242,0,208,364,13,135,1
0,0,470,0,359,8,133,3
0,342,31,0,354,0,146,0
65,0,197,2,349,7,151,0
9,320,0,0,351,0,149,0
0,0,0,224,353,0,147,0
132,365,0,0,348,0,145,7
247,162,0,0,356,0,143,1
376,0,0,0,359,0,141,0
281,173,0,0,361,0,139,0
0,422,0,0,363,0,137,0
24,0,380,14,358,7,135,0
0,158,44,271,367,0,133,0
0,0,280,0,362,7,138,7
23,28,420,0,357,0,142,1
0,0,397,0,0,0,0,0
399,36,0,0,0,0,397,0
50,89,85,121,105,0,395,0
333,0,0,160,107,0,393,0
226,0,0,191,109,0,391,0
0,96,84,106,111,0,389,0
0,0,420,0,106,7,394,7
0,434,0,0,101,0,398,1
0,101,114,213,96,8,396,0
0,209,44,113,91,15,409,15
56,0,197,0,86,7,407,9
0,0,183,159,92,0,405,3
409,0,0,0,87,0,413,10
232,0,0,236,85,0,411,4
29,0,143,290,91,0,409,0
155,0,77,161,93,0,407,0
0,364,58,0,95,0,405,0
100,129,0,264,90,7,410,0
0,304,0,183,92,0,408,0
373,0,0,0,87,7,406,7
0,88,0,375,95,0,404,1
32,124,181,0,90,8,402,8
0,150,254,0,98,0,400,2
346,0,0,0,93,9,407,0
119,0,0,352,94,1,405,0
43,160,0,195,97,0,403,0
458,0,0,0,99,0,401,0
0,0,0,358,101,0,399,0
433,0,0,0,96,0,397,7
69,9,130,135,104,0,395,1
160,0,0,305,107,0,393,0
0,60,10,180,109,0,391,0
119,0,0,335,104,7,396,7
0,367,0,10,105,0,394,1
7,0,284,0,100,8,392,8
134,216,1,0,102,0,396,2
10,98,49,323,106,0,394,0
48,248,117,68,108,0,392,0
0,0,201,215,110,0,390,0
285,107,35,21,105,0,395,7
0,0,203,283,106,0,393,1
0,378,3,91,101,0,399,8
12,32,193,199,96,5,400,7
0,205,0,159,101,0,398,1
0,478,0,0,96,8,396,8
225,0,0,242,91,13,394,2
0,480,0,0,103,5,392,0
224,95,0,0,98,12,390,0
399,0,0,0,108,4,388,0
34,193,262,0,114,0,386,0
193,183,0,108,116,0,384,0
315,0,0,0,118,0,382,0
0,448,0,0,120,0,380,0
364,81,0,55,115,7,378,0
29,176,33,50,124,0,376,0
30,89,28,53,126,0,374,0
440,0,0,0,128,0,372,0
0,0,199,298,130,0,370,0
324,0,0,0,125,0,375,7
131,74,0,214,126,0,373,1
85,0,367,0,129,0,371,0
0,76,0,331,131,0,369,0
0,412,0,0,126,7,367,7
0,0,247,0,121,13,365,1
161,167,0,0,116,5,379,0
0,213,164,0,123,0,377,0
19,0,258,214,118,7,382,0
0,0,0,490,120,0,380,0
287,117,0,0,115,0,378,7
0,0,0,469,123,0,376,1
87,0,0,382,118,0,374,8
0,110,208,89,126,0,372,2
0,0,154,169,121,9,379,9
304,4,153,8,116,1,380,6
0,62,254,123,122,0,378,0
319,0,0,0,117,7,383,7
0,262,0,230,118,0,381,1
0,0,455,0,113,8,379,8
50,0,157,265,108,0,390,2
0,218,0,126,112,0,388,0
0,177,200,0,107,7,386,7
312,116,0,0,102,13,397,1
0,0,372,124,100,5,395,0
29,9,53,0,95,0,405,12
165,276,0,31,91,0,403,6
0,163,308,0,99,0,401,0
89,0,367,0,94,7,406,0
227,25,218,0,96,0,404,0
111,0,210,40,98,0,402,0
67,0,423,0,100,0,400,0
0,124,0,306,102,0,398,0
0,147,55,242,97,7,396,7
0,0,174,270,92,13,407,14
0,140,0,350,87,5,405,8
185,0,0,286,82,13,403,15
0,114,0,160,85,5,401,9
87,157,197,0,80,18,399,21
0,0,239,243,78,10,397,15
392,71,0,0,73,2,416,30
0,104,148,21,68,0,414,24
0,1,330,135,0,0,0,0
301,0,0,132,0,1,330,135
395,0,0,0,43,0,328,129
0,315,0,0,51,0,326,123
24,185,149,0,46,13,324,117
127,130,235,0,62,5,322,111
0,155,224,0,75,0,320,105
0,237,0,30,70,13,331,99
174,91,0,84,65,13,329,101
157,176,0,110,73,5,327,95
0,480,0,0,86,0,325,89
407,0,0,0,81,13,323,83
0,360,0,0,97,5,321,77
113,2,105,175,92,18,319,71
242,0,101,0,108,10,317,65
119,0,0,339,124,2,315,59
16,0,0,420,134,0,313,53
125,304,9,0,142,0,311,47
0,175,0,219,150,0,309,41
0,60,0,290,145,13,307,48
46,0,0,357,140,13,305,50
52,272,0,0,148,5,303,44
0,75,182,0,161,0,301,38
175,0,177,0,156,13,312,32
0,0,391,31,159,5,310,26
0,231,52,0,154,0,326,38
174,325,0,0,149,0,324,32
85,239,133,0,152,0,322,26
228,6,0,115,160,0,320,20
0,275,0,132,168,0,318,14
0,230,0,225,163,13,316,21
38,84,0,0,158,13,314,23
0,0,432,0,166,5,312,17
35,3,380,0,161,0,328,11
316,0,0,109,169,0,326,5
0,0,194,175,176,0,324,0
351,0,0,45,171,0,329,7
0,0,109,347,172,0,327,1
0,0,0,483,167,0,333,8
0,77,0,293,162,0,331,7
73,0,0,340,157,13,329,14
0,0,0,384,160,5,327,8
0,445,0,19,155,0,325,20
104,67,45,0,150,13,323,27
2,225,202,0,153,5,321,21
0,0,453,0,150,16,335,15
0,13,213,0,145,8,338,9
169,242,0,0,140,13,357,3
0,0,0,262,140,5,355,0
146,34,172,0,135,0,353,12
0,0,0,432,143,0,351,6
0,0,0,381,138,0,349,13
0,232,0,264,133,0,347,20
256,24,31,0,128,13,345,27
187,114,0,135,131,5,343,21
0,0,0,428,144,0,341,15
0,441,0,0,139,0,339,22
226,59,0,0,134,13,337,16
0,118,37,128,150,5,335,10
187,0,0,285,145,18,351,22
0,182,266,17,140,10,349,16
0,47,0,398,135,8,353,16
0,497,0,0,130,9,351,19
484,2,0,0,125,13,349,13
242,0,0,0,141,5,347,7
70,0,0,101,154,0,345,1
0,0,437,0,157,0,343,0
69,85,14,72,152,0,348,0
0,369,0,91,154,0,346,0
0,126,354,5,149,7,344,7
0,0,446,0,144,13,355,6
0,7,431,62,139,5,356,0
132,0,0,282,134,7,366,12
287,0,0,0,130,0,364,6
191,257,0,0,138,0,362,0
0,0,274,70,140,0,360,0
208,0,284,0,135,0,365,7
0,204,0,172,136,0,363,1
0,0,150,329,131,8,361,8
0,141,0,307,126,0,372,15
399,7,84,0,121,0,370,9
55,0,0,312,129,0,368,3
166,0,299,0,134,0,366,0
126,342,0,0,136,0,364,0
61,188,11,126,138,0,362,0
0,5,0,419,140,0,360,0
0,67,118,0,135,5,358,7
0,39,0,306,130,13,369,1
392,0,0,0,125,8,367,3
0,0,297,166,135,0,365,0
134,0,0,276,130,0,370,7
102,0,55,178,131,0,368,1
63,0,399,0,134,0,366,0
82,0,83,325,136,0,364,0
254,0,71,100,138,0,362,0
0,0,246,135,140,0,360,0
0,454,0,0,135,0,365,7
0,0,478,0,130,6,363,1
0,226,215,0,125,0,375,0
0,0,465,0,120,7,380,0
21,212,73,98,0,0,0,0
358,63,0,0,21,212,73,98
215,200,0,0,133,204,71,92
0,0,459,0,149,196,69,86
0,0,360,0,144,188,88,80
137,357,0,0,139,180,107,74
150,101,61,8,155,172,105,68
0,317,0,48,171,164,103,62
0,0,29,242,166,177,101,77
0,0,463,0,161,169,99,71
0,347,0,116,156,161,118,65
111,0,208,13,151,174,116,80
186,0,35,106,146,166,114,74
112,90,56,0,162,158,112,68
269,226,0,0,178,150,110,62
0,218,84,120,194,142,108,56
201,85,0,142,189,155,127,71
141,0,204,0,184,147,125,65
0,0,427,0,179,139,123,59
0,253,0,0,174,131,142,53
0,118,362,0,169,144,140,47
89,47,90,0,164,157,159,41
0,0,0,375,159,149,157,35
68,13,322,0,154,141,155,50
0,14,0,403,170,133,153,44
0,0,0,428,165,139,151,59
354,0,0,0,160,131,149,60
0,88,76,297,176,123,147,54
0,251,197,0,171,136,166,69
419,25,0,23,166,128,164,63
0,180,0,178,161,120,162,57
0,131,259,0,156,133,160,72
72,113,0,36,151,125,158,66
0,0,0,222,167,117,156,60
0,25,0,382,162,109,154,75
0,0,0,420,157,122,152,90
0,38,289,0,152,114,150,84
0,279,0,0,147,127,169,78
0,258,89,50,142,119,167,72
119,68,228,0,137,132,186,87
55,0,0,108,132,124,184,81
20,295,0,0,127,116,182,75
311,19,117,29,142,109,180,69
309,141,0,0,158,101,178,63
0,474,0,0,174,93,176,57
0,278,2,16,169,106,174,51
108,334,0,0,164,119,174,61
0,220,135,0,162,111,172,55
484,0,0,0,157,124,191,49
0,253,234,0,152,116,189,43
188,0,14,0,147,129,208,37
0,324,49,0,142,121,206,31
42,78,287,0,137,134,225,25
67,126,157,0,132,126,223,19
0,51,0,201,148,118,221,13
0,393,0,0,143,131,219,28
84,0,0,228,138,123,217,22
0,0,416,0,154,115,215,16
0,0,387,111,149,107,234,10
0,364,0,0,144,99,253,25
185,0,171,0,139,91,251,19
106,0,297,0,155,83,249,13
0,0,265,105,171,75,247,7
0,0,0,324,166,67,266,22
0,0,0,435,161,59,264,16
0,0,418,0,156,51,262,31
216,194,0,29,151,43,281,25
0,31,0,457,167,35,279,19
127,0,195,0,162,48,277,34
50,0,0,435,157,40,275,28
0,0,368,0,173,32,273,22
0,101,321,0,168,24,292,16
179,185,35,0,163,37,311,10
0,0,289,195,158,29,309,4
353,0,0,0,153,21,326,19
0,0,0,446,150,13,324,13
0,201,105,12,145,5,322,28
12,176,74,148,140,18,338,34
208,154,91,40,135,10,336,28
0,154,162,50,142,2,334,22
93,0,225,91,137,15,347,31
72,30,121,31,132,7,345,25
0,0,434,0,138,0,343,19
0,379,73,22,133,0,354,13
116,0,81,143,128,13,365,20
411,0,27,0,123,5,363,14
122,308,0,0,131,0,361,8
231,171,0,0,139,0,359,2
370,0,0,120,143,0,357,0
379,0,25,0,145,0,355,0
20,0,371,0,147,0,353,0
149,0,0,332,149,0,351,0
0,0,16,313,151,0,349,0
118,0,74,155,146,0,354,7
0,0,0,359,147,0,352,1
0,71,252,34,142,0,350,8
0,0,0,482,137,13,361,15
0,254,0,82,132,5,359,9
197,255,48,0,127,13,357,16
0,497,0,0,130,5,355,10
369,120,0,0,0,0,0,0
493,0,0,0,369,120,0,0
0,411,0,0,388,112,0,0
142,205,13,106,383,117,0,0
23,0,345,0,391,109,0,0
105,0,232,0,399,101,0,0
74,230,125,33,407,93,0,0
0,0,285,0,415,85,0,0
0,47,294,0,410,77,13,0
359,98,0,0,405,84,26,0
66,332,0,93,400,76,24,0
12,0,116,338,410,68,22,0
0,0,458,0,417,60,23,3
0,69,0,389,412,52,36,0
247,15,0,179,407,59,34,15
380,0,15,0,408,51,32,9
356,47,0,0,424,43,30,3
0,0,392,19,437,35,28,0
100,99,248,0,432,27,41,15
416,0,0,56,433,19,39,9
0,29,75,290,449,11,37,3
56,65,38,0,444,21,53,18
0,492,0,0,439,13,51,12
71,0,0,298,434,11,49,6
436,0,0,0,450,3,47,0
137,0,29,314,455,0,45,0
0,0,0,391,457,0,43,0
0,492,0,0,452,0,41,7
11,290,0,0,447,13,39,1
35,85,0,357,453,10,37,0
18,350,0,0,463,2,35,0
61,182,0,254,467,0,33,0
159,307,0,0,469,0,31,0
0,295,0,109,471,0,29,0
277,0,97,0,466,7,27,7
12,251,94,0,474,0,25,1
0,0,257,27,477,0,23,0
247,49,0,0,472,0,28,7
0,333,53,0,473,0,26,1
0,184,0,26,468,8,32,0
0,0,0,447,463,7,30,7
0,232,230,18,458,0,28,14
0,230,0,270,453,13,39,21
0,0,0,372,448,5,37,15
131,12,0,168,443,0,35,22
323,0,0,83,451,0,33,16
28,0,242,204,459,0,31,10
187,0,0,20,467,0,29,4
484,0,0,0,473,0,27,0
0,185,22,0,475,0,25,0
349,0,0,0,470,7,30,0
495,0,0,0,472,0,28,0
0,386,0,98,474,0,26,0
0,0,489,0,469,7,24,7
0,0,34,320,464,0,35,1
0,0,345,67,459,0,41,8
219,254,0,0,454,0,44,7
0,201,0,264,457,0,42,1
0,0,162,229,452,8,40,8
0,476,6,0,447,0,51,15
360,0,41,0,442,0,49,9
0,83,79,205,450,0,47,3
23,0,13,139,445,10,55,10
0,0,0,379,441,2,53,4
26,295,0,158,436,0,51,13
21,104,129,238,444,0,49,7
0,0,322,161,452,0,47,1
397,0,0,0,447,0,53,8
253,197,0,0,447,0,51,2
332,130,0,0,451,0,49,0
419,53,0,0,453,0,47,0
288,0,0,0,455,0,45,0
152,32,0,286,457,0,43,0
0,317,119,52,459,0,41,0
378,0,0,0,454,7,46,7
155,0,0,190,455,0,44,1
0,77,365,0,458,0,42,0
112,257,0,0,453,7,47,0
233,0,98,100,455,0,45,0
0,0,0,406,457,0,43,0
160,0,0,291,452,0,41,7
98,63,61,0,460,0,39,1
4,0,252,38,463,0,37,0
0,0,436,0,462,0,38,3
0,151,0,144,457,0,43,0
0,238,249,0,452,7,41,7
0,0,487,0,447,13,52,1
0,0,292,189,442,5,53,0
0,0,486,0,437,0,63,12
0,139,361,0,432,0,62,6
2,230,144,0,427,13,73,0
411,0,0,0,424,5,71,0
0,437,0,0,431,0,69,0
0,458,0,0,426,7,67,0
0,294,0,203,421,14,65,0
0,0,480,0,416,21,63,15
0,0,324,0,411,13,67,9
0,132,277,29,406,5,86,3
0,289,0,0,401,15,99,15
349,0,128,0,396,7,97,9
0,405,0,62,0,0,0,0
0,196,0,225,0,405,0,62
410,0,0,0,0,444,0,103
145,0,59,51,0,436,0,97
179,0,0,292,0,428,0,91
25,454,0,0,0,420,0,85
0,217,0,120,9,412,0,79
0,0,0,451,4,423,0,92
0,459,0,0,0,415,0,86
0,71,204,21,0,420,0,80
164,245,0,0,0,426,14,88
408,0,0,0,0,418,12,82
491,0,0,0,4,410,10,76
378,0,0,0,20,402,8,70
39,73,261,59,36,394,6,64
312,0,88,0,52,386,4,58
267,0,207,0,68,378,2,52
307,24,151,0,84,370,0,46
0,0,0,361,98,362,0,40
0,453,0,0,93,354,0,53
201,140,0,61,88,365,0,47
0,0,371,0,102,357,0,41
101,133,107,27,97,349,19,35
161,0,254,0,113,341,17,29
0,321,0,139,129,333,15,23
187,0,152,106,124,346,13,38
0,435,0,34,119,338,11,32
0,0,193,193,114,351,9,47
254,149,45,7,109,343,7,41
184,286,16,0,125,335,5,35
0,419,0,0,141,327,3,29
300,0,0,0,136,340,1,23
77,9,307,0,151,332,0,17
75,0,196,198,165,324,0,11
0,0,0,486,179,316,0,5
0,0,485,0,174,308,0,18
257,16,0,134,169,300,19,12
0,0,0,340,185,292,17,6
387,0,66,0,180,284,15,21
126,0,23,40,196,276,13,15
271,0,40,0,212,268,11,9
189,0,0,276,228,260,9,3
0,357,16,0,241,252,7,0
89,0,371,0,236,259,20,0
0,286,88,0,231,251,18,0
0,288,0,134,226,258,31,0
0,224,211,0,221,250,29,0
139,93,82,116,216,257,42,0
374,0,60,53,211,249,40,0
169,77,175,23,221,241,38,0
0,265,0,210,231,233,36,0
0,122,0,46,226,240,34,15
0,66,414,0,221,238,32,15
23,245,0,131,216,245,45,9
401,0,17,0,217,237,43,3
162,0,304,0,230,229,41,0
0,119,106,139,240,221,39,0
0,0,0,386,235,228,52,15
0,0,304,0,230,220,50,9
192,259,0,0,225,212,60,3
0,0,463,0,238,204,58,0
0,0,0,395,233,196,71,0
0,479,0,0,228,188,69,15
0,114,285,43,223,201,67,9
0,29,424,0,218,214,86,24
0,206,0,212,213,206,84,18
337,31,0,0,208,198,82,12
105,126,0,0,224,190,80,6
59,285,0,0,240,182,78,0
0,210,0,239,250,174,76,0
0,0,466,0,245,181,74,15
63,0,0,416,240,173,78,9
27,121,178,0,256,165,76,3
0,487,0,0,269,157,74,0
0,308,147,0,264,164,72,0
0,0,343,0,259,171,85,0
134,70,0,0,254,163,83,0
113,59,0,0,264,155,81,0
0,0,0,398,274,147,79,0
0,0,389,0,269,139,77,15
217,0,167,0,264,131,96,9
0,129,217,97,280,123,94,3
0,0,165,316,275,133,110,18
0,339,101,0,270,125,108,12
0,233,73,0,265,123,112,6
0,0,0,119,260,130,125,0
144,340,0,0,255,122,123,0
494,0,0,0,265,114,121,0
70,203,225,0,275,106,119,0
0,163,276,0,285,98,117,0
197,122,0,12,280,105,130,0
0,449,0,0,275,97,128,0
168,324,0,0,270,104,126,0
117,201,0,0,280,96,124,0
35,395,0,16,290,88,122,0
217,181,30,0,300,80,120,0
200,152,0,44,310,72,118,0
69,0,0,378,320,64,116,0
247,0,217,0,330,56,114,0
358,0,0,137,340,48,112,0
0,465,0,0,0,0,0,0
228,0,231,0,0,465,0,0
30,0,224,234,43,457,0,0
0,108,329,0,51,449,0,0
243,74,112,45,46,454,13,0
0,0,434,0,43,446,11,0
0,151,282,0,38,438,24,0
51,0,10,288,33,445,37,0
291,0,0,45,28,437,35,0
0,0,0,353,38,429,33,0
221,23,79,83,33,421,31,15
126,0,0,341,49,413,29,9
44,0,391,27,65,405,27,3
0,248,0,234,78,397,25,0
0,201,0,233,73,404,23,15
0,0,381,0,68,402,21,15
160,65,0,6,63,394,34,9
446,0,0,0,79,386,32,3
451,5,0,0,92,378,30,0
0,0,0,263,102,370,28,0
0,0,413,0,97,362,26,15
12,64,43,0,92,354,45,9
5,5,348,93,99,355,52,3
364,37,0,5,99,351,54,4
209,127,0,0,105,343,52,0
0,85,273,0,115,335,50,0
213,40,0,137,110,342,63,0
0,294,0,74,105,334,61,0
0,0,332,0,100,341,59,15
24,0,0,320,95,333,63,9
401,7,81,0,111,325,61,3
0,250,106,0,124,317,59,0
0,40,255,0,119,324,72,0
0,0,237,29,114,316,70,0
0,0,162,64,109,308,83,15
302,0,125,0,104,300,87,15
2,0,261,148,114,292,85,9
251,238,0,0,111,284,102,22
0,79,336,0,108,276,100,16
0,0,138,324,103,289,119,10
50,326,10,0,98,281,117,4
0,0,420,0,112,273,115,0
314,0,0,0,107,265,128,0
0,199,173,105,117,257,126,0
0,341,0,61,112,264,139,15
25,26,63,350,107,256,137,9
98,0,0,356,114,248,135,3
0,0,0,418,127,240,133,0
166,306,0,12,122,232,131,15
14,132,0,308,138,224,129,9
0,282,0,22,147,223,127,10
